class,nutrient,unit,amount,DV,%DV
Proximate,Water,g,57.06,2000,0.02853
Proximate,Energy,kcal,168,2000,0.084
Proximate,Protein,g,16.51,50,0.3302
Proximate,Fat,g,10.82,65,0.166461538461538
Mineral,Calcium,mg,10,1000,0.01
Mineral,Iron,mg,1.69,18,0.0938888888888889
Mineral,Magnesium,mg,16,400,0.04
Mineral,Phosphorus,mg,149,1000,0.149
Mineral,Potassium,mg,246,3500,0.0702857142857143
Mineral,Sodium,mg,58,2400,0.0241666666666667
Mineral,Zinc,mg,3.87,15,0.258
Vitamin,Thiamin,mg,0.042,1.5,0.028
Vitamin,Riboflavin,mg,0.131,1.7,0.0770588235294118
Vitamin,Niacin,mg,4.095,20,0.20475
Vitamin,Vitamin B-6,mg,0.302,2,0.151
Vitamin,Folate,µg,5,400,0.0125
Vitamin,Vitamin B-12,µg,1.67,6,0.278333333333333
Vitamin,Vitamin E,mg,0.3,15,0.02
Vitamin,Vitamin K,µg,0.9,120,0.0075
Lipid,Fatty acids - total saturated,g,4.535,20,0.22675
Lipid,Fatty acids - total monounsaturated,g,4.08,25,0.1632
Lipid,Fatty acids - total polyunsaturated,g,0.452,25,0.01808
Lipid,Fatty acids - total trans,g,0.638,2,0.319
Lipid,Cholesterol,mg,53,300,0.176666666666667
