food,ingredient,sentiment,major
Chex Mix,Whole Grain Oats,0.7027255747676681,yes
Chex Mix,Sugar,0.6262829461495419,yes
Chex Mix,Canola Oil,0.7594140398481464,yes
Chex Mix,Whole Grain Rice,0.6290748208910303,yes
Chex Mix,Rice,0.8019767997986749,yes
Chex Mix,Almond Pieces,0.8758860395429895,yes
Chex Mix,Dried Blueberries,0.6298552906760794,yes
Chex Mix,Honey,0.7546032015830333,yes
Chex Mix,Dried Cranberries,0.8232009735440049,yes
Chex Mix,Molasses,0.8201291216068896,yes
Chex Mix,Rice Flour,0.7069540436350406,yes
Chex Mix,Salt,0.5694346005851127,yes
Chex Mix,Cinnamon,0.4113248375741927,yes
Chex Mix,Baking Soda,0.700762028845738,yes
Chex Mix,Mixed Tocopherols,0.843770337097472,yes
Chex Mix,BHT,0.39323634418509434,yes
