food,class,nutrient,unit,amount,DV,%DV
Egg,Proximate,Water,g,28.94,2000,0.01447
Egg,Proximate,Energy,kcal,54,2000,0.027
Egg,Proximate,Protein,g,4.77,50,0.0954
Egg,Proximate,Fat,g,3.61,65,0.0555384615384615
Egg,Proximate,Carbohydrate,g,0.27,300,0.0009
Egg,Proximate,Sugars,g,0.14,100,0.0014
Egg,Mineral,Calcium,mg,21,1000,0.021
Egg,Mineral,Iron,mg,0.67,18,0.0372222222222222
Egg,Mineral,Magnesium,mg,5,400,0.0125
Egg,Mineral,Phosphorus,mg,75,1000,0.075
Egg,Mineral,Potassium,mg,52,3500,0.0148571428571429
Egg,Mineral,Sodium,mg,54,2400,0.0225
Egg,Mineral,Zinc,mg,0.49,15,0.0326666666666667
Egg,Vitamin,Thiamin,mg,0.015,1.5,0.01
Egg,Vitamin,Riboflavin,mg,0.174,1.7,0.102352941176471
Egg,Vitamin,Niacin,mg,0.029,20,0.00145
Egg,Vitamin,Vitamin B-6,mg,0.065,2,0.0325
Egg,Vitamin,Folate,µg,18,400,0.045
Egg,Vitamin,Vitamin B-12,µg,0.34,6,0.0566666666666667
Egg,Vitamin,Vitamin A,IU,205,5000,0.041
Egg,Vitamin,Vitamin E,mg,0.4,15,0.0266666666666667
Egg,Vitamin,Vitamin D,IU,31,400,0.0775
Egg,Vitamin,Vitamin K,µg,0.1,120,0.000833333333333333
Egg,Lipid,Fatty acids - total saturated,g,1.188,20,0.0594
Egg,Lipid,Fatty acids - total monounsaturated,g,1.39,25,0.0556
Egg,Lipid,Fatty acids - total polyunsaturated,g,0.726,25,0.02904
Egg,Lipid,Fatty acids -  total trans,g,0.014,2,0.007
Egg,Lipid,Cholesterol,mg,141,300,0.47
