food,ingredient,sentiment,major
Gogurt (1/2 Cup),Milk,0.6472777840844576,yes
Gogurt (1/2 Cup),Sugar,0.6262829461495419,yes
Gogurt (1/2 Cup),Modified Corn Starch,0.29546048812127335,yes
Gogurt (1/2 Cup),Kosher Gelatin,0.7139510115830023,no
Gogurt (1/2 Cup),Tricalcium Phosphate,0.6231385924785242,no
Gogurt (1/2 Cup),Vegetable Juice,0.8205818948405734,no
Gogurt (1/2 Cup),Natural Flavor,0.518048019840347,no
Gogurt (1/2 Cup),Potassium Sorbate,0.5416441521312764,no
Gogurt (1/2 Cup),Carrageenan,0.45505402230281117,no
Gogurt (1/2 Cup),Vitamin A Acetate,0.36297401078154057,no
Gogurt (1/2 Cup),Vitamin D3,0.8521361237646912,no
