food,ingredient,sentiment,major
Margarine,Liquid Soybean Oil,0.5211175412232064,yes
Margarine,Partially Hydrogenated Soybean Oil,0.2996887516054735,yes
Margarine,Water,0.8616100973736425,yes
Margarine,Salt,0.569281617115485,yes
Margarine,Whey,0.492029632526102,yes
Margarine,Vegetable Monoglycerides,0.28429595535023267,yes
Margarine,Soy Lecithin,0.7840435746447544,yes
Margarine,Potassium Sorbate,0.5495688286963419,yes
Margarine,Citric Acid,0.43205117598966514,yes
Margarine,Artificial Flavor,0.47151778359773383,yes
Margarine,Beta Carotene,0.8884130280479526,yes
Margarine,Vitamin A Palmitate,0.35349096317863354,yes
