Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:17 EDT
"Nutrient data for: 45189052, FUJI APPLES, UPC: 888670019924"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 MEDIUM APPLE = 154.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,80,52
"Protein",g,--,--,0.00,0.00
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,22.01,14.29
"Fiber, total dietary",g,--,--,4.9,3.2
"Sugars, total",g,--,--,16.00,10.39
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.35,0.23
"Sodium, Na",mg,--,--,0,0
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,4.8,3.1
"Vitamin A, IU",IU,--,--,100,65
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ORGANIC FUJI APPLES." Date available: 10/19/2016 Date last updated by company: 10/19/2016
