Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:31 EDT
"Nutrient data for: 45040193, MEIJER, CHICKEN NUGGETS, UPC: 719283906106"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"76.0 g = 76.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,180,237
"Protein",g,--,--,10.00,13.16
"Total lipid (fat)",g,--,--,10.00,13.16
"Carbohydrate, by difference",g,--,--,12.00,15.79
"Fiber, total dietary",g,--,--,1.0,1.3
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,20,26
"Iron, Fe",mg,--,--,1.08,1.42
"Sodium, Na",mg,--,--,490,645
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,1.999,2.630
"Fatty acids, total monounsaturated",g,--,--,3.998,5.260
"Fatty acids, total polyunsaturated",g,--,--,3.998,5.260
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,20,26
Amino Acids
Other
Ingredients
"CHICKEN BREAST WITH RIB MEAT, WATER, TEXTURED SOY PROTEIN CONCENTRATE, SALT, SODIUM PHOSPHATES, SPICE EXTRACTIVES, BREADED WITH: BLEACHED WHEAT FLOUR, WATER, MODIFIED FOOD STARCH, YELLOW CORN FLOUR, WHEAT FLOUR, SALT, DEXTROSE, LEAVENING (SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBONATE), SPICE, EXTRACTIVES OF PAPRIKA AND TURMERIC, NATURAL FLAVOR, BREADING SET IN VEGETABLE OIL." Date last updated by company: 11/02/2015
