Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 15:03 EDT
"Nutrient data for: 45086905, ORGANIC COCONUT MILK, UPC: 706173010227"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.5 cup = 100.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,200,200
"Protein",g,--,--,2.00,2.00
"Total lipid (fat)",g,--,--,18.00,18.00
"Carbohydrate, by difference",g,--,--,7.00,7.00
"Fiber, total dietary",g,--,--,1.0,1.0
"Sugars, total",g,--,--,2.00,2.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,19,19
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,17.000,17.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ORGANIC COCONUT EXTRACT (35%), WATER." Date last updated by company: 03/21/2016
