Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 15:06 EDT
"Nutrient data for: 45121543, GOGURT, LOW FAT YOGURT, UPC: 070470005966"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"227 g = 227.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,213,94
"Protein",g,--,--,7.08,3.12
"Total lipid (fat)",g,--,--,1.77,0.78
"Carbohydrate, by difference",g,--,--,42.56,18.75
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,31.92,14.06
Minerals
"Calcium, Ca",mg,--,--,354,156
"Iron, Fe",mg,--,--,0.00,0.00
"Phosphorus, P",mg,--,--,213,94
"Potassium, K",mg,--,--,320,141
"Sodium, Na",mg,--,--,107,47
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Riboflavin",mg,--,--,2.411,1.062
"Vitamin A, IU",IU,--,--,1419,625
"Vitamin D",IU,--,--,141,62
Lipids
"Fatty acids, total saturated",g,--,--,0.00,0.00
"Fatty acids, total trans",g,--,--,0.00,0.00
"Cholesterol",mg,--,--,18,8
Amino Acids
Other
Ingredients
"HERO BERRY INGREDIENTS: CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, MODIFIED CORN STARCH. CONTAINS 1% OR LESS OF: KOSHER GELATIN, TRICALCIUM PHOSPHATE, VEGETABLE JUICE (FOR COLOR), NATURAL FLAVOR, POTASSIUM SORBATE ADDED TO MAINTAIN FRESHNESS, CARRAGEENAN, VITAMIN A ACETATE, VITAMIN D3. SUPER PUNCH INGREDIENTS: CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, MODIFIED CORN STARCH. CONTAINS 1% OR LESS OF: KOSHER GELATIN, VEGETABLE JUICE (FOR COLOR), TRICALCIUM PHOSPHATE, CITRIC ACID, NATURAL FLAVOR, POTASSIUM SORBATE ADDED TO MAINTAIN FRESHNESS, CARRAGEENAN, VITAMIN A ACETATE, VITAMIN D3." Date last updated by company: 07/12/2016
