Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:35 EDT
"Nutrient data for: 45124021, THE GREEK GODS, GREEK STYLE YOGURT, UPC: 078355550006"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 cup = 227.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,220,97
"Protein",g,--,--,8.99,3.96
"Total lipid (fat)",g,--,--,14.01,6.17
"Carbohydrate, by difference",g,--,--,15.00,6.61
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,15.00,6.61
Minerals
"Calcium, Ca",mg,--,--,350,154
"Iron, Fe",mg,--,--,0.00,0.00
"Phosphorus, P",mg,--,--,300,132
"Potassium, K",mg,--,--,461,203
"Sodium, Na",mg,--,--,150,66
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Pantothenic acid",mg,--,--,0.799,0.352
"Vitamin A, IU",IU,--,--,499,220
Lipids
"Fatty acids, total saturated",g,--,--,8.989,3.960
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,50,22
Amino Acids
Other
Ingredients
"CULTURED PASTEURIZED GRADE A MILK, CREAM, PECTIN." Date last updated by company: 07/21/2016
