Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:26 EDT
"Nutrient data for: 45083063, HONEY BUNCHES OF OATS, CEREAL, CRUNCHY HONEY ROASTED, UPC: 084912014467"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.75 cup = 30.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,120,400
"Protein",g,--,--,2.00,6.67
"Total lipid (fat)",g,--,--,1.50,5.00
"Carbohydrate, by difference",g,--,--,25.00,83.33
"Fiber, total dietary",g,--,--,2.0,6.7
"Sugars, total",g,--,--,6.00,20.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,10.80,36.00
"Magnesium, Mg",mg,--,--,16,53
"Phosphorus, P",mg,--,--,40,133
"Potassium, K",mg,--,--,55,183
"Sodium, Na",mg,--,--,135,450
"Zinc, Zn",mg,--,--,0.30,1.00
"Copper, Cu",mg,--,--,0.040,0.133
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Thiamin",mg,--,--,3.600,12.000
"Riboflavin",mg,--,--,4.250,14.167
"Niacin",mg,--,--,5.000,16.667
"Vitamin B-6",mg,--,--,0.500,1.667
"Folic acid",µg,--,--,9,30
"Vitamin B-12",µg,--,--,1.50,5.00
"Vitamin A, IU",IU,--,--,750,2500
"Vitamin D",IU,--,--,40,133
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total monounsaturated",g,--,--,0.999,3.330
"Fatty acids, total polyunsaturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"CORN, WHOLE GRAIN WHEAT, SUGAR, WHOLE GRAIN ROLLED OATS, BROWN SUGAR, RICE, CANOLA OIL, WHEAT FLOUR, MALTED BARLEY FLOUR, CORN SYRUP, SALT, WHEY (FROM MILK), MALTED CORN AND BARLEY SYRUP, WILDFLOWER HONEY, CARAMEL COLOR, NATURAL AND ARTIFICIAL FLAVOR, ANNATTO EXTRACT (COLOR). BHT ADDED TO PACKAGING MATERIAL TO PRESERVE PRODUCT FRESHNESS. VITAMINS AND MINERALS: REDUCED IRON, NIACINAMIDE, VITAMIN B6, VITAMIN A PALMITATE, RIBOFLAVIN (VITAMIN B2), THIAMIN MONONITRATE (VITAMIN B1), ZINC OXIDE (SOURCE OF ZINC), FOLIC ACID, VITAMIN B12, VITAMIN D." Date last updated by company: 03/10/2016
