Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:23 EDT
"Nutrient data for: 45050986, SOFT MARGARINE, UPC: 041497090273"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 Tbsp = 14.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,100,714
"Protein",g,--,--,0.00,0.00
"Total lipid (fat)",g,--,--,11.00,78.57
"Carbohydrate, by difference",g,--,--,0.00,0.00
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,105,750
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,500,3571
Lipids
"Fatty acids, total saturated",g,--,--,2.001,14.290
"Fatty acids, total trans",g,--,--,1.499,10.710
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"LIQUID SOYBEAN OIL, PARTIALLY HYDROGENATED SOYBEAN OIL, WATER, SALT, WHEY, VEGETABLE MONOGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE AND CITRIC ACID ADDED AS PRESERVATIVES, ARTIFICIAL FLAVOR, COLORED WITH BETA CAROTENE, VITAMIN A PALMITATE ADDED." Date last updated by company: 07/16/2014
