Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:28 EDT
"Nutrient data for: 45048669, WINN-DIXIE, APPLES & CINNAMON NATURALLY FLAVORED INSTANT OATMEAL, APPLES, CINNAMON, UPC: 021140181275"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"35.0 g = 35.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,130,371
"Protein",g,--,--,3.00,8.57
"Total lipid (fat)",g,--,--,1.50,4.29
"Carbohydrate, by difference",g,--,--,27.00,77.14
"Fiber, total dietary",g,--,--,3.0,8.6
"Sugars, total",g,--,--,12.00,34.29
Minerals
"Calcium, Ca",mg,--,--,100,286
"Iron, Fe",mg,--,--,3.60,10.29
"Magnesium, Mg",mg,--,--,32,91
"Phosphorus, P",mg,--,--,100,286
"Sodium, Na",mg,--,--,170,486
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Thiamin",mg,--,--,3.150,9.000
"Riboflavin",mg,--,--,3.400,9.714
"Niacin",mg,--,--,4.000,11.429
"Vitamin B-6",mg,--,--,0.400,1.143
"Folic acid",µg,--,--,12,35
"Vitamin A, IU",IU,--,--,1000,2857
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total monounsaturated",g,--,--,0.500,1.430
"Fatty acids, total polyunsaturated",g,--,--,0.500,1.430
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"WHOLE GRAIN ROLLED OATS (WITH OAT BRAN), SUGAR, DEHYDRATED APPLES (TREATED WITH SULFUR DIOXIDE AND SODIUM SULFITE TO PROMOTE COLOR RETENTION), CINNAMON, SALT, CALCIUM CARBONATE (A SOURCE OF CALCIUM), NATURAL FLAVORS, CITRIC ACID, GUAR GUM, FERRIC ORTHOPHOSPHATE ( A SOURCE OF IRON), NIACINAMIDE*, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6)*, RIBOFLAVIN*, VITAMIN A PALMITATE, THIAMINE MONONITRATE*, FOLIC ACID*. * ONE OF THE B VITAMINS." Date last updated by company: 05/15/2014
