Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:26 EDT
"Nutrient data for: 45014347, BOB'S RED MILL, ORGANIC STEEL CUT OATS CEREAL, UPC: 039978009579"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.25 cup = 44.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,170,386
"Protein",g,--,--,7.00,15.91
"Total lipid (fat)",g,--,--,3.00,6.82
"Carbohydrate, by difference",g,--,--,29.00,65.91
"Fiber, total dietary",g,--,--,5.0,11.4
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,20,45
"Iron, Fe",mg,--,--,1.80,4.09
"Sodium, Na",mg,--,--,0,0
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.50,1.14
"Fatty acids, total trans",g,--,--,0.00,0.00
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ORGANIC WHOLE GRAIN OATS." Date last updated by company: 02/28/2015
