Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:24 EDT
"Nutrient data for: 45139734, MICHELINA'S, PIZZA SNACK ROLLS, FOUR MEAT, UPC: 717854016896"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"10.0 ROLLS = 85.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,230,271
"Protein",g,--,--,7.00,8.24
"Total lipid (fat)",g,--,--,11.00,12.94
"Carbohydrate, by difference",g,--,--,24.00,28.24
"Fiber, total dietary",g,--,--,1.0,1.2
"Sugars, total",g,--,--,1.00,1.18
Minerals
"Calcium, Ca",mg,--,--,60,71
"Iron, Fe",mg,--,--,1.80,2.12
"Sodium, Na",mg,--,--,410,482
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,1.2,1.4
"Vitamin A, IU",IU,--,--,100,118
Lipids
"Fatty acids, total saturated",g,--,--,3.502,4.120
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,10,12
Amino Acids
Other
Ingredients
"ENRICHED WHEAT FLOUR (WHEAT FLOUR, FERROUS SULFATE, NIACIN, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, TOPPING BLEND (MOZZARELLA CHEESE SUBSTITUTE [WATER, PALM OIL, CASEIN, MODIFIED FOOD STARCH, FOOD STARCH, CONTAINS 2% OR LESS OF NATURAL FLAVO" Date available: 09/23/2016 Date last updated by company: 09/23/2016
