Source: USDA Branded Food Products Database Release January 2017 Software v.3.7.1 2017-03-29
Report Run at: April 28, 2017 14:33 EDT
"Nutrient data for: 45130159, MARIE CALLENDERS Pot Pie Small Multi Pack, UNPREPARED, GTIN: 00021131302153"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 PIE = 283.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,611,216
"Protein",g,--,--,17.01,6.01
"Carbohydrate, by difference",g,--,--,57.00,20.14
"Sugars, total",g,--,--,5.01,1.77
Minerals
"Calcium, Ca",mg,--,--,40,14
"Iron, Fe",mg,--,--,4.50,1.59
"Potassium, K",mg,--,--,311,110
"Sodium, Na",mg,--,--,990,350
"Manganese, Mn",mg,--,--,0.000,0.000
"Selenium, Se",µg,--,--,17.0,6.0
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,2.3,0.8
"Thiamin",mg,--,--,0.000,0.000
"Riboflavin",mg,--,--,0.679,0.240
"Vitamin B-6",mg,--,--,0.119,0.042
"Folate, total",µg,--,--,139,49
"Vitamin B-12",µg,--,--,1.19,0.42
"Vitamin A, IU",IU,--,--,2001,707
Lipids
"Fatty acids, total saturated",g,--,--,12.99,4.59
"Fatty acids, total trans",g,--,--,0.00,0.00
"Cholesterol",mg,--,--,31,11
Amino Acids
Other
Ingredients
"FILLING: CHICKEN BROTH (WATER, CHICKEN BROTH POWDER [MALTODEXTRIN, CHICKEN BROTH, SALT, FLAVORS]), WHITE MEAT CHICKEN (WHITE MEAT CHICKEN, WATER, ISOLATED SOY PROTEIN PRODUCT [ISOLATED SOY PROTEIN, MODIFIED POTATO STARCH, CORN STARCH, CARRAGEENAN, SOY LECITHIN], DEXTROSE,SALT, FLAVORING CARROTS, PEAS WATER, MODIFIED CORN STARCH, CELERY, CONTAINS 2% OR LESS OF: ONIONS, SALT, SOYBEAN OIL, NONFAT DRY MILK, CHICKEN FLAVOR (CHICKEN BROTH, CHICKEN FAT, SALT, FLAVOR, DISODIUM INOSINDATE, GUANYLATE, POLYSORBATE 60, XANTHAN GUM), CREAM, SUGAR, METHYLCELLULOSE, DRIED ONION, XANTHAN GUM, FLAVORING, GUAR GUM,  EXTRACTIVES OF TURMERIC. CRUST: ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), INTERESTERIFIED SOYBEAN OIL, WATER, SALT, MODIFIED WHEY, CARAMEL COLOR, WHEAT FLOUR.  CONTAINS: MILK, SOY, WHEAT." Date last updated by company: 07/29/2016
