food,ingredient,sentiment,major
Cheese Puffs,Corn Meal,0.8482967756006166,yes
Cheese Puffs,Vegetable Oil,0.5417759775656442,yes
Cheese Puffs,Whey,0.6219463368091211,yes
Cheese Puffs,Corn Starch,0.45782674010662955,yes
Cheese Puffs,Cheddar Cheese,0.6070945818874622,yes
Cheese Puffs,Maltodextrin,0.4207926112999273,yes
Cheese Puffs,Salt,0.5694346005851127,yes
Cheese Puffs,Butter,0.2797009716994939,yes
Cheese Puffs,Natural And Artificial Flavors,0.6094608372196199,yes
Cheese Puffs,Buttermilk,0.8991343908159288,yes
Cheese Puffs,Monosodium Glutamate,0.8697721568328293,yes
Cheese Puffs,Yellow 5,0.589311403090322,yes
Cheese Puffs,Yellow 6,0.7137108834520275,yes
Cheese Puffs,Yellow 5 Lake,0.7737975640090027,yes
