Source: USDA Branded Food Products Database Release January 2017 Software v.3.7 2017-03-21
Report Run at: March 27, 2017 20:41 EDT
"Nutrient data for: 45023969, WILD WHEAT BAKERY, WHOLE WHEAT BREAD, UPC: 816743001354"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 oz = 57.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,120,211
"Protein",g,--,--,5.00,8.77
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,25.00,43.86
"Fiber, total dietary",g,--,--,3.0,5.3
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,20,35
"Iron, Fe",mg,--,--,1.08,1.89
"Sodium, Na",mg,--,--,200,351
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.00,0.00
"Fatty acids, total trans",g,--,--,0.00,0.00
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"WHOLE WHEAT FLOUR, WATER, SALT AND YEAST." Date last updated by company: 06/15/2015
